Gene,Protein class
LIX1,Predicted intracellular proteins
LIX1L,Predicted intracellular proteins
LKAAEAR1,Predicted intracellular proteins
LLCFC1,"Predicted intracellular proteins, Predicted membrane proteins"
LLGL1,Predicted intracellular proteins
LLGL2,Predicted intracellular proteins
LLPH,Predicted intracellular proteins
LMAN1,"Disease related genes, Predicted membrane proteins"
LMAN1L,"Predicted intracellular proteins, Predicted membrane proteins"
LMAN2,"Predicted intracellular proteins, Predicted membrane proteins"
LMAN2L,"Disease related genes, Predicted membrane proteins"
LMBR1,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
LMBR1L,Predicted membrane proteins
LMBRD1,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
LMBRD2,Predicted membrane proteins
LMCD1,Predicted intracellular proteins
LMF1,"Disease related genes, Predicted membrane proteins"
LMF2,Predicted membrane proteins
LMLN,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
LMNA,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
LMNB1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
LMNB2,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
LMNTD1,Predicted intracellular proteins
LMNTD2,Predicted intracellular proteins
LMO1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
LMO2,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
LMO3,Predicted intracellular proteins
LMO4,Predicted intracellular proteins
LMO7,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
LMO7DN,Predicted intracellular proteins
LMOD1,"Plasma proteins, Predicted intracellular proteins"
LMOD2,Predicted intracellular proteins
LMOD3,"Disease related genes, Predicted intracellular proteins"
LMTK2,"Enzymes, Predicted membrane proteins"
LMTK3,"Enzymes, Predicted membrane proteins"
LMX1A,"Predicted intracellular proteins, Transcription factors"
LMX1B,"Disease related genes, Predicted intracellular proteins, Transcription factors"
LNP1,"Disease related genes, Predicted intracellular proteins"
LNPEP,"Enzymes, Predicted membrane proteins"
LNPK,"Predicted intracellular proteins, Predicted membrane proteins"
LNX1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
LNX2,"Plasma proteins, Predicted intracellular proteins"
LONP1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
LONP2,"Enzymes, Predicted intracellular proteins"
LONRF1,Predicted intracellular proteins
LONRF2,Predicted intracellular proteins
LONRF3,Predicted intracellular proteins
LOR,"Disease related genes, Predicted intracellular proteins"
LOX,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins"
LOXHD1,"Disease related genes, Predicted intracellular proteins"
LOXL1,"Disease related genes, Plasma proteins, Predicted secreted proteins"
LOXL2,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"
LOXL3,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
LOXL4,Predicted secreted proteins
LPA,"Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
LPAR1,"G-protein coupled receptors, Predicted membrane proteins"
LPAR2,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
LPAR3,"G-protein coupled receptors, Predicted membrane proteins"
LPAR4,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
LPAR5,"G-protein coupled receptors, Predicted membrane proteins"
LPAR6,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
LPCAT1,"Enzymes, Predicted membrane proteins"
LPCAT2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
LPCAT3,"Enzymes, Predicted membrane proteins"
LPCAT4,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
LPGAT1,Predicted membrane proteins
LPIN1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
LPIN2,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
LPIN3,"Enzymes, Predicted intracellular proteins"
LPL,"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
LPO,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"
LPP,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
LPXN,Predicted intracellular proteins
LRAT,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
LRBA,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
LRCH1,"Predicted intracellular proteins, Predicted membrane proteins"
LRCH2,Predicted intracellular proteins
LRCH3,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
LRCH4,"Predicted intracellular proteins, Predicted membrane proteins"
LRCOL1,Predicted secreted proteins
LRFN1,Predicted membrane proteins
LRFN2,Predicted membrane proteins
LRFN3,Predicted membrane proteins
LRFN4,"Predicted intracellular proteins, Predicted membrane proteins"
LRFN5,"Predicted intracellular proteins, Predicted membrane proteins"
LRG1,"Plasma proteins, Predicted secreted proteins"
LRGUK,Predicted intracellular proteins
LRIF1,Predicted intracellular proteins
LRIG1,Predicted membrane proteins
LRIG2,"Disease related genes, Predicted membrane proteins"
LRIG3,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins"
LRIT1,Predicted membrane proteins
LRIT2,Predicted membrane proteins
LRIT3,"Disease related genes, Predicted membrane proteins"
LRMDA,"Disease related genes, Predicted intracellular proteins"
LRMP,"Predicted intracellular proteins, Predicted membrane proteins"
LRP1,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
LRP10,Predicted membrane proteins
LRP11,"Predicted intracellular proteins, Predicted membrane proteins"
LRP12,Predicted membrane proteins
LRP1B,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
LRP2,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
LRP2BP,Predicted intracellular proteins
LRP3,"Predicted intracellular proteins, Predicted membrane proteins"
LRP4,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
LRP5,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
LRP5L,Predicted intracellular proteins
LRP6,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
LRP8,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
LRPAP1,"Disease related genes, Predicted intracellular proteins"
LRPPRC,"Disease related genes, Predicted intracellular proteins"
LRR1,Predicted intracellular proteins
LRRC1,Predicted intracellular proteins
LRRC10,Predicted intracellular proteins
LRRC10B,Predicted intracellular proteins
LRRC14,Predicted intracellular proteins
LRRC14B,Predicted intracellular proteins
LRRC15,"Plasma proteins, Predicted membrane proteins"
LRRC17,Predicted secreted proteins
LRRC18,Predicted intracellular proteins
LRRC19,Predicted membrane proteins
LRRC2,Predicted intracellular proteins
LRRC20,Predicted intracellular proteins
LRRC23,Predicted intracellular proteins
LRRC24,Predicted membrane proteins
LRRC25,Predicted membrane proteins
LRRC26,Predicted membrane proteins
LRRC27,Predicted intracellular proteins
LRRC28,Predicted intracellular proteins
LRRC29,Predicted intracellular proteins
LRRC3,"Plasma proteins, Predicted membrane proteins"
LRRC30,Predicted intracellular proteins
LRRC31,Predicted intracellular proteins
LRRC32,"Predicted intracellular proteins, Predicted membrane proteins"
LRRC34,Predicted intracellular proteins
LRRC36,Predicted intracellular proteins
LRRC37A,Predicted membrane proteins
LRRC37A2,Predicted membrane proteins
LRRC37A3,"Predicted intracellular proteins, Predicted membrane proteins"
LRRC37B,"Predicted intracellular proteins, Predicted membrane proteins"
LRRC38,Predicted membrane proteins
LRRC39,Predicted intracellular proteins
LRRC3B,"Predicted intracellular proteins, Predicted membrane proteins"
LRRC3C,Predicted membrane proteins
LRRC4,"Predicted intracellular proteins, Predicted membrane proteins"
LRRC40,Predicted intracellular proteins
LRRC41,Predicted intracellular proteins
LRRC42,Predicted intracellular proteins
LRRC43,Predicted intracellular proteins
LRRC45,Predicted intracellular proteins
LRRC46,Predicted intracellular proteins
LRRC47,Predicted intracellular proteins
LRRC49,Predicted intracellular proteins
LRRC4B,"Predicted intracellular proteins, Predicted membrane proteins"
LRRC4C,"Predicted intracellular proteins, Predicted membrane proteins"
LRRC52,Predicted membrane proteins
LRRC53,Predicted membrane proteins
LRRC55,"Predicted membrane proteins, Transporters"
LRRC56,Predicted intracellular proteins
LRRC57,Predicted intracellular proteins
LRRC58,Predicted intracellular proteins
LRRC59,"Predicted intracellular proteins, Predicted membrane proteins"
LRRC6,"Disease related genes, Predicted intracellular proteins"
LRRC61,Predicted intracellular proteins
LRRC66,Predicted membrane proteins
LRRC69,Predicted intracellular proteins
LRRC7,Predicted intracellular proteins
LRRC70,"Predicted intracellular proteins, Predicted membrane proteins"
LRRC71,Predicted intracellular proteins
LRRC72,Predicted intracellular proteins
LRRC73,Predicted intracellular proteins
LRRC74A,Predicted intracellular proteins
LRRC74B,Predicted intracellular proteins
LRRC75A,Predicted intracellular proteins
LRRC75B,Predicted intracellular proteins
LRRC8A,"Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"
LRRC8B,"Predicted membrane proteins, Transporters"
LRRC8C,"Predicted membrane proteins, Transporters"
LRRC8D,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
LRRC8E,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
LRRC9,Predicted intracellular proteins
LRRCC1,Predicted intracellular proteins
LRRD1,Predicted intracellular proteins
LRRFIP1,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
LRRFIP2,"Predicted intracellular proteins, Transcription factors"
LRRIQ1,Predicted intracellular proteins
LRRIQ3,Predicted intracellular proteins
LRRIQ4,Predicted intracellular proteins
LRRK1,"Enzymes, Predicted intracellular proteins"
LRRK2,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
LRRN1,Predicted membrane proteins
LRRN2,Predicted membrane proteins
LRRN3,"Predicted intracellular proteins, Predicted membrane proteins"
LRRN4,Predicted membrane proteins
LRRN4CL,Predicted membrane proteins
LRRTM1,"Predicted intracellular proteins, Predicted membrane proteins"
LRRTM2,"Predicted intracellular proteins, Predicted membrane proteins"
LRRTM3,Predicted membrane proteins
LRRTM4,"Predicted intracellular proteins, Predicted membrane proteins"
LRSAM1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
LRTM1,Predicted membrane proteins
LRTM2,"Predicted intracellular proteins, Predicted membrane proteins"
LRTOMT,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
LRWD1,Predicted intracellular proteins
LSAMP,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
LSG1,"Plasma proteins, Predicted intracellular proteins"
LSM1,Predicted intracellular proteins
LSM10,Predicted intracellular proteins
LSM11,Predicted intracellular proteins
LSM12,Predicted intracellular proteins
LSM14A,Predicted intracellular proteins
LSM14B,Predicted intracellular proteins
LSM2,"Plasma proteins, Predicted intracellular proteins"
LSM3,"Plasma proteins, Predicted intracellular proteins"
LSM4,Predicted intracellular proteins
LSM5,Predicted intracellular proteins
LSM6,Predicted intracellular proteins
LSM7,Predicted intracellular proteins
LSM8,"Plasma proteins, Predicted intracellular proteins"
LSMEM1,Predicted membrane proteins
LSMEM2,Predicted membrane proteins
LSP1,Predicted intracellular proteins
LSR,"Predicted intracellular proteins, Predicted membrane proteins"
LSS,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
LST1,"Predicted intracellular proteins, Predicted membrane proteins"
LTA,"Cancer-related genes, Disease related genes, Predicted secreted proteins"
LTA4H,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
LTB,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
LTB4R,"G-protein coupled receptors, Predicted membrane proteins, Transporters"
LTB4R2,"G-protein coupled receptors, Predicted membrane proteins"
LTBP1,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
LTBP2,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
LTBP3,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
LTBP4,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
LTBR,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
LTC4S,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
LTF,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
LTK,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
LTN1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
LTV1,Predicted intracellular proteins
LUC7L,Predicted intracellular proteins
LUC7L2,"Plasma proteins, Predicted intracellular proteins"
LUC7L3,"Plasma proteins, Predicted intracellular proteins"
LUM,"Cancer-related genes, Plasma proteins, Predicted secreted proteins"
LURAP1,Predicted intracellular proteins
LURAP1L,Predicted intracellular proteins
LUZP1,Predicted intracellular proteins
LUZP2,"Predicted intracellular proteins, Predicted secreted proteins"
LUZP4,Predicted intracellular proteins
LUZP6,Predicted intracellular proteins
LVRN,"Enzymes, Predicted intracellular proteins"
LXN,Predicted intracellular proteins
LY6D,"Plasma proteins, Predicted membrane proteins"
LY6E,"Predicted intracellular proteins, Predicted membrane proteins"
LY6G5B,"Predicted intracellular proteins, Predicted secreted proteins"
LY6G5C,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
LY6G6C,Predicted membrane proteins
LY6G6D,"Predicted intracellular proteins, Predicted membrane proteins"
LY6G6F,Predicted membrane proteins
LY6H,"Plasma proteins, Predicted intracellular proteins"
LY6K,"Predicted membrane proteins, Predicted secreted proteins"
LY6L,Predicted intracellular proteins
LY75,"CD markers, Predicted membrane proteins"
LY86,Predicted secreted proteins
LY9,"CD markers, Predicted intracellular proteins, Predicted membrane proteins"
LY96,Predicted secreted proteins
LYAR,"Predicted intracellular proteins, Transcription factors"
LYG1,Predicted secreted proteins
LYG2,Predicted secreted proteins
LYL1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
LYN,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
LYNX1,"Predicted intracellular proteins, Predicted membrane proteins"
LYPD1,Predicted intracellular proteins
LYPD2,Predicted intracellular proteins
LYPD3,Predicted membrane proteins
LYPD4,Predicted intracellular proteins
LYPD5,"Predicted intracellular proteins, Predicted membrane proteins"
LYPD6,Predicted secreted proteins
LYPD6B,"Predicted intracellular proteins, Transporters"
LYPD8,Predicted secreted proteins
LYPLA1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
LYPLA2,Predicted intracellular proteins
LYPLAL1,Predicted intracellular proteins
LYRM1,"Disease related genes, Predicted intracellular proteins"
LYRM2,Predicted intracellular proteins
LYRM4,"Disease related genes, Predicted intracellular proteins"
LYRM7,"Disease related genes, Predicted intracellular proteins"
LYRM9,Predicted intracellular proteins
LYSMD1,Predicted intracellular proteins
LYSMD2,Predicted intracellular proteins
LYSMD3,"Predicted intracellular proteins, Predicted membrane proteins"
LYSMD4,"Predicted intracellular proteins, Predicted membrane proteins"
LYST,"Disease related genes, Predicted intracellular proteins"
LYVE1,"Plasma proteins, Predicted membrane proteins"
LYZ,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins"
LYZL1,"Enzymes, Predicted membrane proteins, Predicted secreted proteins"
LYZL2,"Enzymes, Predicted membrane proteins, Predicted secreted proteins"
LYZL4,Predicted secreted proteins
LYZL6,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"
LZIC,Predicted intracellular proteins
LZTFL1,"Disease related genes, Predicted intracellular proteins"
LZTR1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
LZTS1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
LZTS2,Predicted intracellular proteins
LZTS3,Predicted intracellular proteins
M1AP,Predicted intracellular proteins
M6PR,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
MAATS1,Predicted intracellular proteins
MAB21L1,Predicted intracellular proteins
MAB21L2,"Disease related genes, Predicted intracellular proteins"
MAB21L3,Predicted intracellular proteins
MACC1,Predicted intracellular proteins
MACF1,"Predicted intracellular proteins, Predicted membrane proteins"
MACO1,"Predicted membrane proteins, Transporters"
MACROD1,"Disease related genes, Predicted intracellular proteins"
MACROD2,Predicted intracellular proteins
MAD1L1,"Disease related genes, Predicted intracellular proteins"
MAD2L1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
MAD2L1BP,Predicted intracellular proteins
MAD2L2,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
MADCAM1,Predicted membrane proteins
MADD,"Predicted intracellular proteins, Predicted membrane proteins"
MAEA,Predicted intracellular proteins
MAEL,Predicted intracellular proteins
MAF,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
MAF1,Predicted intracellular proteins
MAFA,"Predicted intracellular proteins, Transcription factors"
MAFB,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
MAFF,"Predicted intracellular proteins, Transcription factors"
MAFG,"Predicted intracellular proteins, Transcription factors"
MAFK,"Predicted intracellular proteins, Transcription factors"
MAG,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
MAGEA1,Predicted intracellular proteins
MAGEA10,Predicted intracellular proteins
MAGEA11,Predicted intracellular proteins
MAGEA12,Predicted intracellular proteins
MAGEA2,Predicted intracellular proteins
MAGEA2B,Predicted intracellular proteins
MAGEA3,"Cancer-related genes, Predicted intracellular proteins"
MAGEA4,"Cancer-related genes, Predicted intracellular proteins, Predicted membrane proteins"
MAGEA6,"Cancer-related genes, Predicted intracellular proteins"
MAGEA8,Predicted intracellular proteins
MAGEA9,Predicted intracellular proteins
MAGEA9B,Predicted intracellular proteins
MAGEB1,Predicted intracellular proteins
MAGEB10,Predicted intracellular proteins
MAGEB16,Predicted intracellular proteins
MAGEB17,Predicted intracellular proteins
MAGEB18,Predicted intracellular proteins
MAGEB2,Predicted intracellular proteins
MAGEB3,Predicted intracellular proteins
MAGEB4,Predicted intracellular proteins
MAGEB5,"Cancer-related genes, Predicted intracellular proteins"
MAGEB6,"Cancer-related genes, Predicted intracellular proteins"
MAGEC1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
MAGEC2,"Cancer-related genes, Predicted intracellular proteins"
MAGEC3,"Cancer-related genes, Predicted intracellular proteins"
MAGED1,"Cancer-related genes, Predicted intracellular proteins"
MAGED2,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
MAGED4,"Predicted intracellular proteins, Predicted membrane proteins"
MAGED4B,"Predicted intracellular proteins, Predicted membrane proteins"
MAGEE1,"Plasma proteins, Predicted intracellular proteins"
MAGEE2,Predicted intracellular proteins
MAGEF1,Predicted intracellular proteins
MAGEH1,Predicted membrane proteins
MAGEL2,"Disease related genes, Predicted intracellular proteins"
MAGI1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
MAGI2,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"
MAGI3,Predicted intracellular proteins
MAGOH,"Predicted intracellular proteins, Transporters"
MAGOHB,Predicted intracellular proteins
MAGT1,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
MAIP1,Predicted intracellular proteins
MAJIN,Predicted intracellular proteins
MAK,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MAK16,Predicted intracellular proteins
MAL,Predicted membrane proteins
MAL2,Predicted membrane proteins
MALL,Predicted membrane proteins
MALRD1,"Predicted intracellular proteins, Predicted membrane proteins"
MALSU1,Predicted intracellular proteins
MALT1,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MAMDC2,Predicted secreted proteins
MAMDC4,Predicted membrane proteins
MAML1,Predicted intracellular proteins
MAML2,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
MAML3,Predicted intracellular proteins
MAMLD1,"Disease related genes, Predicted intracellular proteins"
MAMSTR,Predicted intracellular proteins
MAN1A1,"Enzymes, Plasma proteins, Predicted membrane proteins"
MAN1A2,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
MAN1B1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
MAN1C1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
MAN2A1,"Enzymes, Plasma proteins, Predicted membrane proteins"
MAN2A2,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
MAN2B1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MAN2B2,"Enzymes, Plasma proteins, Predicted secreted proteins"
MAN2C1,"Enzymes, Predicted intracellular proteins"
MANBA,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
MANBAL,Predicted membrane proteins
MANEA,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
MANEAL,Predicted intracellular proteins
MANSC1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
MANSC4,Predicted membrane proteins
MAOA,"Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins"
MAOB,"Enzymes, FDA approved drug targets, Predicted membrane proteins"
MAP10,Predicted intracellular proteins
MAP1A,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
MAP1B,"Plasma proteins, Predicted intracellular proteins"
MAP1LC3A,Predicted intracellular proteins
MAP1LC3B,Predicted intracellular proteins
MAP1LC3B2,Predicted intracellular proteins
MAP1LC3C,Predicted intracellular proteins
MAP1S,Predicted intracellular proteins
MAP2,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
MAP2K1,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins"
MAP2K2,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins"
MAP2K3,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MAP2K4,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
MAP2K5,"Enzymes, Predicted intracellular proteins"
MAP2K6,"Enzymes, Predicted intracellular proteins"
MAP2K7,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MAP3K1,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
MAP3K10,"Enzymes, Predicted intracellular proteins"
MAP3K11,"Enzymes, Predicted intracellular proteins"
MAP3K12,"Enzymes, Predicted intracellular proteins"
MAP3K13,"Cancer-related genes, Enzymes, Predicted intracellular proteins"
MAP3K14,"Enzymes, Predicted intracellular proteins"
MAP3K15,"Enzymes, Predicted intracellular proteins"
MAP3K19,"Enzymes, Predicted intracellular proteins"
MAP3K2,"Enzymes, Predicted intracellular proteins"
MAP3K20,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MAP3K21,"Enzymes, Predicted intracellular proteins"
MAP3K3,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
MAP3K4,"Cancer-related genes, Enzymes, Predicted intracellular proteins"
MAP3K5,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MAP3K6,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MAP3K7,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MAP3K7CL,Predicted intracellular proteins
MAP3K8,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MAP3K9,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MAP4,"FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
MAP4K1,"Enzymes, Predicted intracellular proteins"
MAP4K2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MAP4K3,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
MAP4K4,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MAP6,Predicted intracellular proteins
MAP6D1,Predicted intracellular proteins
MAP7,Predicted intracellular proteins
MAP7D1,Predicted intracellular proteins
MAP7D2,Predicted intracellular proteins
MAP7D3,Predicted intracellular proteins
MAP9,Predicted intracellular proteins
MAPK1,"Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins"
MAPK10,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, RAS pathway related proteins"
MAPK11,"Enzymes, FDA approved drug targets, Predicted intracellular proteins"
MAPK12,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MAPK13,"Enzymes, Predicted intracellular proteins"
MAPK14,"Cancer-related genes, Enzymes, Predicted intracellular proteins"
MAPK15,"Enzymes, Predicted intracellular proteins"
MAPK1IP1L,Predicted intracellular proteins
MAPK3,"Cancer-related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins"
MAPK4,"Enzymes, Plasma proteins, Predicted intracellular proteins"
MAPK6,"Enzymes, Predicted intracellular proteins"
MAPK7,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
MAPK8,"Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins"
MAPK8IP1,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
MAPK8IP2,Predicted intracellular proteins
MAPK8IP3,Predicted intracellular proteins
MAPK9,"Enzymes, Predicted intracellular proteins, RAS pathway related proteins"
MAPKAP1,Predicted intracellular proteins
MAPKAPK2,"Cancer-related genes, Enzymes, Predicted membrane proteins"
MAPKAPK3,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
MAPKAPK5,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
MAPKBP1,"Disease related genes, Predicted intracellular proteins"
MAPRE1,"Plasma proteins, Predicted intracellular proteins"
MAPRE2,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
MAPRE3,Predicted intracellular proteins
MAPT,"Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
1-Mar,Predicted intracellular proteins
2-Mar,"Predicted intracellular proteins, Predicted membrane proteins"
1-Mar,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
10-Mar,"Enzymes, Predicted intracellular proteins"
11-Mar,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
2-Mar,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
3-Mar,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
4-Mar,"Enzymes, Predicted membrane proteins"
5-Mar,"Enzymes, Predicted membrane proteins"
6-Mar,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
7-Mar,"Enzymes, Predicted intracellular proteins"
8-Mar,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
9-Mar,"Enzymes, Predicted membrane proteins"
MARCKS,"Plasma proteins, Predicted intracellular proteins"
MARCKSL1,Predicted intracellular proteins
MARCO,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
MARCOL,Predicted intracellular proteins
MARF1,Predicted intracellular proteins
MARK1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
MARK2,"Enzymes, Predicted intracellular proteins"
MARK3,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
MARK4,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
