Gene,Protein class
ACTR3C,Predicted intracellular proteins
ACTR5,Predicted intracellular proteins
ACTR6,Predicted intracellular proteins
ACTR8,Predicted intracellular proteins
ACTRT1,Predicted intracellular proteins
ACTRT2,Predicted intracellular proteins
ACTRT3,Predicted intracellular proteins
ACVR1,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ACVR1B,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ACVR1C,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACVR2A,"Cancer-related genes, Enzymes, Predicted membrane proteins"
ACVR2B,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ACVRL1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ACY1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ACY3,"Enzymes, Predicted intracellular proteins"
ACYP1,"Enzymes, Predicted intracellular proteins"
ACYP2,"Enzymes, Predicted intracellular proteins"
ADA,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ADA2,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ADAD1,Predicted intracellular proteins
ADAD2,Predicted intracellular proteins
ADAL,Predicted intracellular proteins
ADAM10,"Cancer-related genes, CD markers, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ADAM11,"Predicted membrane proteins, Transporters"
ADAM12,"Predicted membrane proteins, Predicted secreted proteins, Transporters"
ADAM15,"Predicted intracellular proteins, Predicted membrane proteins"
ADAM17,"CD markers, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
ADAM18,"Predicted intracellular proteins, Predicted membrane proteins"
ADAM19,"Plasma proteins, Predicted membrane proteins"
ADAM2,Predicted membrane proteins
ADAM20,Predicted membrane proteins
ADAM21,Predicted membrane proteins
ADAM22,"Predicted intracellular proteins, Predicted membrane proteins"
ADAM23,"Predicted intracellular proteins, Predicted membrane proteins"
ADAM28,"Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"
ADAM29,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
ADAM30,"Plasma proteins, Predicted membrane proteins"
ADAM32,"Predicted intracellular proteins, Predicted membrane proteins"
ADAM33,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
ADAM7,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ADAM8,"CD markers, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ADAM9,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins"
ADAMDEC1,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
ADAMTS1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"
ADAMTS10,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
ADAMTS12,"Plasma proteins, Predicted secreted proteins"
ADAMTS13,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ADAMTS14,"Cancer-related genes, Plasma proteins, Predicted secreted proteins"
ADAMTS15,Predicted secreted proteins
ADAMTS16,Predicted secreted proteins
ADAMTS17,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
ADAMTS18,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
ADAMTS19,Predicted secreted proteins
ADAMTS2,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins"
ADAMTS20,"Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins"
ADAMTS3,"Cancer-related genes, Predicted secreted proteins"
ADAMTS4,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters"
ADAMTS5,"Cancer-related genes, Predicted secreted proteins"
ADAMTS6,"Cancer-related genes, Predicted secreted proteins"
ADAMTS7,"Plasma proteins, Predicted secreted proteins"
ADAMTS8,"Cancer-related genes, Plasma proteins, Predicted secreted proteins"
ADAMTS9,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
ADAMTSL1,"Predicted intracellular proteins, Predicted secreted proteins"
ADAMTSL2,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
ADAMTSL3,Predicted secreted proteins
ADAMTSL4,"Disease related genes, Predicted secreted proteins"
ADAP1,Predicted intracellular proteins
ADAP2,Predicted intracellular proteins
ADAR,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ADARB1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ADARB2,Predicted intracellular proteins
ADAT1,"Enzymes, Predicted intracellular proteins"
ADAT2,"Enzymes, Predicted intracellular proteins"
ADCK1,"Enzymes, Predicted secreted proteins"
ADCK2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ADCK5,"Enzymes, Predicted membrane proteins"
ADCY1,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ADCY10,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ADCY2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ADCY3,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ADCY4,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
