Gene Name,GenBank Gene ID,Drug IDs
SLC18A2,L09118,DB00182; DB00206; DB00368; DB00502; DB00579; DB00865; DB00988; DB01089; DB01576; DB01577; DB04821; DB04844; DB05381; DB06706; DB06714; DB12161
ABCA1,AF275948,DB01016; DB01599
sulI,X53635,DB00891
TPH1,X52836,DB00360; DB12095
embB,,DB00330
ESR1,X03635,DB00255; DB00286; DB00304; DB00367; DB00396; DB00431; DB00481; DB00539; DB00603; DB00624; DB00648; DB00655; DB00675; DB00756; DB00783; DB00823; DB00841; DB00882; DB00890; DB00947; DB00957; DB00977; DB01065; DB01108; DB01183; DB01185; DB01196; DB01357; DB01406; DB01428; DB01593; DB01708; DB04573; DB04574; DB04575; DB04824; DB04930; DB04938; DB06202; DB06249; DB06401; DB06710; DB09070; DB09086; DB09317; DB09318; DB09369; DB09371; DB09535; DB11064; DB11219; DB11619; DB13943; DB13944; DB13946; DB13952; DB13953; DB13954; DB13955; DB13956; DB14487; DB14533; DB14548; DB15690
IL3,M14743,DB01025; DB01593; DB14487; DB14533; DB14548
AKR1C1,M86609,DB00157; DB00936; DB00945
rpsI,X02130,DB00560; DB00595; DB01017; DB01301
HIBADH,AC007130,DB00157
GABRR1,M62400,DB00431
HBA1,J00153,DB00893; DB01592; DB01593; DB06154; DB09112; DB09130; DB09517; DB13257; DB13995; DB14487; DB14488; DB14489; DB14490; DB14491; DB14501; DB14533; DB14548; DB14975; DB15617
HSD11B2,U14631,DB00157; DB01185; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544
AR,M20132,DB00255; DB00367; DB00396; DB00421; DB00499; DB00621; DB00623; DB00624; DB00648; DB00655; DB00665; DB00675; DB00717; DB00957; DB00984; DB01026; DB01063; DB01128; DB01185; DB01395; DB01406; DB01420; DB01428; DB01608; DB01708; DB02266; DB04839; DB06412; DB06710; DB06713; DB06718; DB08604; DB08804; DB08867; DB08899; DB09086; DB09123; DB09371; DB09389; DB11064; DB11219; DB11619; DB11901; DB12499; DB12941; DB13155; DB13943; DB13944; DB13946; DB14583
ALDH2,X05409,DB00157; DB00536; DB00822
LHCGR,M73746,DB00014; DB00032; DB00044; DB00050; DB00097; DB06719; DB09126
ALDH7A1,S74728,DB00157
SLC7A3,AF320612,DB00123; DB13146
NDUFV2,M22538,DB00157
DBH,X13255,DB00126; DB00822; DB00988
SLC12A6,AF116242,DB00761
SCN1A,AF225985,DB00252; DB00909; DB01121; DB01438; DB01595; DB04930
penA,AE005672,DB01147; DB01150
TUBB,J00314,DB00361; DB00541; DB00570; DB01179; DB01394; DB06137; DB09130; DB11641; DB15534
RARG,M24857,DB00210; DB00459; DB00523; DB00755; DB00799; DB00982; DB12808
DRD5,X58454,DB00246; DB00248; DB00334; DB00408; DB00477; DB00589; DB00714; DB00800; DB00988; DB01186; DB01200; DB01224; DB01235; DB01238; DB01403; DB01624; DB05271; DB14185
HRH4,AB044934,DB00321; DB00363; DB00408; DB00477; DB00543; DB01142; DB01238; DB01620; DB05381; DB06148
FLT3,U02687,DB00398; DB01268; DB06595; DB08901; DB09079; DB12010; DB12141; DB12267; DB12500; DB12978; DB15822
ME2,M55905,DB00157
LDHC,J02938,DB00157
NFS1,AF097025,DB00114; DB00151
ALDH5A1,Y11192,DB00139; DB00157; DB00313; DB00534
KCNK1,U33632,DB00308; DB00908; DB01346
TLR7,AF240467,DB00724; DB01611
SIGMAR1,U75283,DB00321; DB00409; DB00502; DB00514; DB00574; DB00652; DB00907; DB00956; DB01708; DB06174; DB11186
TPK1,AB028138,DB00152
rpsJ,V00344,DB00698
HLCS,D23672,DB00121
CYB5R3,M28713,DB00157; DB03147; DB09130
PHGDH,AF006043,DB00157
OGDH,D10523,DB00157; DB00313; DB09092
VEGFA,M32977,DB00112; DB01017; DB01120; DB01136; DB01270; DB03088; DB04895; DB05294; DB06779; DB08885; DB09301; DB10772; DB14864
SDS,J05037,DB00114
AVPR1A,L25615,DB00035; DB00067; DB00872; DB02638; DB06212; DB09059; DB14642
GCLC,M90656,DB00142; DB00151
LIG3,X84740,DB00290
NDUFA4,U94586,DB00157
CKMT1A,J04469,DB00148
ADRB1,J03019,DB00187; DB00195; DB00221; DB00243; DB00248; DB00264; DB00335; DB00368; DB00373; DB00397; DB00408; DB00489; DB00521; DB00555; DB00571; DB00598; DB00612; DB00668; DB00841; DB00852; DB00871; DB00938; DB00960; DB00983; DB01001; DB01064; DB01102; DB01136; DB01151; DB01182; DB01193; DB01203; DB01210; DB01214; DB01238; DB01288; DB01291; DB01297; DB01359; DB01364; DB01407; DB01580; DB04846; DB04855; DB04861; DB06216; DB06262; DB09068; DB09351; DB11124; DB11278; DB13781
NDUFC2,AF087659,DB00157; DB01136
SLC16A6,U79745,DB00119
BDH1,M93107,DB00157
SDHA,D30648,DB04657; DB09270
