"","Hugo.Symbol","Entrez.Gene.ID","GRCh37.Isoform","GRCh37.RefSeq","GRCh38.Isoform","GRCh38.RefSeq","X..of.occurrence.within.resources..Column.D.J.","OncoKB.Annotated","Is.Oncogene","Is.Tumor.Suppressor.Gene","MSK.IMPACT","MSK.HEME","FOUNDATION.ONE","FOUNDATION.ONE.HEME","Vogelstein","SANGER.CGC.05.30.2017.","Oncogene_TSG"
"301","DROSHA",29102,"ENST00000344624","NM_013235.4","ENST00000344624","NM_013235.4",4,"Yes","No","No","Yes","Yes","No","No","No","Yes","Unkown"
"302","EPAS1",2034,"ENST00000263734","NM_001430.4","ENST00000263734","NM_001430.4",4,"Yes","No","No","Yes","Yes","No","No","No","Yes","Unkown"
"303","EPHA5",2044,"ENST00000273854","NM_004439.5","ENST00000273854","NM_004439.5",4,"Yes","No","No","Yes","Yes","No","Yes","No","No","Unkown"
"304","EPHA7",2045,"ENST00000369303","NM_004440.3","ENST00000369303","NM_004440.3",4,"Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Oncogene"
"305","ERCC2",2068,"ENST00000391945","NM_000400.3","ENST00000391945","NM_000400.3",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"306","ERCC3",2071,"ENST00000285398","NM_000122.1","ENST00000285398","NM_000122.1",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"307","ERCC5",2073,"ENST00000355739","NM_000123.3","ENST00000652225","NM_000123.3",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"308","ERRFI1",54206,"ENST00000377482","NM_018948.3","ENST00000377482","NM_018948.3",4,"Yes","No","Yes","Yes","Yes","Yes","No","No","No","TSG"
"309","ETV4",2118,"ENST00000319349","NM_001079675.2","ENST00000319349","NM_001079675.2",4,"Yes","Yes","No","No","No","Yes","Yes","No","Yes","Oncogene"
"310","ETV5",2119,"ENST00000306376","NM_004454.2","ENST00000306376","NM_004454.2",4,"Yes","Yes","No","No","No","Yes","Yes","No","Yes","Oncogene"
"311","EWSR1",2130,"ENST00000397938","NM_005243.3","ENST00000397938","NM_005243.3",4,"Yes","Yes","No","No","No","Yes","Yes","No","Yes","Oncogene"
"312","FANCD2",2177,"ENST00000383807","NM_001018115.1","ENST00000383807","NM_001018115.1",4,"Yes","No","Yes","No","Yes","No","Yes","No","Yes","TSG"
"313","FAT1",2195,"ENST00000441802","NM_005245.3","ENST00000441802","NM_005245.3",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"314","FBXO11",80204,"ENST00000403359","NM_001190274.1","ENST00000403359","NM_001190274.1",4,"Yes","No","Yes","No","Yes","No","Yes","No","Yes","TSG"
"315","FOXA1",3169,"ENST00000250448","NM_004496.3","ENST00000250448","NM_004496.3",4,"Yes","Yes","Yes","Yes","Yes","No","No","No","Yes","Oncogene"
"316","GLI1",2735,"ENST00000228682","NM_005269.2","ENST00000228682","NM_005269.2",4,"Yes","Yes","No","Yes","Yes","No","Yes","No","No","Oncogene"
"317","GNA13",10672,"ENST00000439174","NM_006572.5","ENST00000439174","NM_006572.5",4,"Yes","Yes","No","No","Yes","Yes","Yes","No","No","Oncogene"
"318","H1-2",3006,"ENST00000343677","NM_005319.3","ENST00000343677","NM_005319.3",4,"Yes","No","No","Yes","Yes","No","Yes","No","No","Unkown"
"319","H3-3B",3021,"ENST00000254810","NM_005324.3","ENST00000254810","NM_005324.3",4,"Yes","No","No","Yes","Yes","No","No","No","Yes","Unkown"
"320","HDAC1",3065,"ENST00000373548","NM_004964.2","ENST00000373548","NM_004964.2",4,"Yes","Yes","No","No","Yes","Yes","Yes","No","No","Oncogene"
"321","HLA-A",3105,"ENST00000376809","NM_001242758.1","ENST00000376809","NM_001242758.1",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"322","INHBA",3624,"ENST00000242208","NM_002192.2","ENST00000242208","NM_002192.2",4,"Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Oncogene"
"323","LATS1",9113,"ENST00000253339","NM_004690.3","ENST00000253339","NM_004690.3",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"324","LATS2",26524,"ENST00000382592","NM_014572.2","ENST00000382592","NM_014572.2",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"325","LYN",4067,"ENST00000519728","NM_002350.3","ENST00000519728","NM_002350.3",4,"Yes","Yes","No","Yes","Yes","Yes","No","No","No","Oncogene"
"326","MAF",4094,"ENST00000393350","NM_001031804.2","ENST00000393350","NM_001031804.2",4,"Yes","No","No","No","No","Yes","Yes","No","Yes","Unkown"
"327","MAP3K14",9020,"ENST00000344686","NM_003954.3","ENST00000344686","NM_003954.3",4,"Yes","Yes","No","Yes","Yes","No","Yes","No","No","Oncogene"
"328","MAX",4149,"ENST00000358664","NM_002382.4","ENST00000358664","NM_002382.4",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"329","MLLT1",4298,"ENST00000252674","NM_005934.3","ENST00000252674","NM_005934.3",4,"Yes","No","No","Yes","No","No","Yes","No","Yes","Unkown"
"330","MST1R",4486,"ENST00000296474","NM_002447.2","ENST00000296474","NM_002447.2",4,"Yes","Yes","No","Yes","Yes","Yes","No","No","No","Oncogene"
"331","MYOD1",4654,"ENST00000250003","NM_002478.4","ENST00000250003","NM_002478.4",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"332","NCOR2",9612,"ENST00000405201","NM_006312.6","ENST00000405201","NM_006312.6",4,"Yes","No","No","No","Yes","No","Yes","No","Yes","Unkown"
"333","NOTCH3",4854,"ENST00000263388","NM_000435.2","ENST00000263388","NM_000435.2",4,"Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","Oncogene"
