"","Hugo.Symbol","Entrez.Gene.ID","GRCh37.Isoform","GRCh37.RefSeq","GRCh38.Isoform","GRCh38.RefSeq","X..of.occurrence.within.resources..Column.D.J.","OncoKB.Annotated","Is.Oncogene","Is.Tumor.Suppressor.Gene","MSK.IMPACT","MSK.HEME","FOUNDATION.ONE","FOUNDATION.ONE.HEME","Vogelstein","SANGER.CGC.05.30.2017.","Oncogene_TSG"
"591","BCL2L2",599,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"592","BCL3",602,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"593","BCL7A",605,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"594","BTG2",7832,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"595","CAMTA1",23261,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"596","CARS1",833,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"597","CBFA2T3",863,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"598","CD22",933,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"599","CD28",940,"ENST00000324106","NM_006139.3","ENST00000324106","NM_006139.3",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"600","CD70",970,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"601","CD74",972,"","","","",2,"No","No","No","No","No","Yes","No","No","Yes","Unkown"
"602","CDX2",1045,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"603","CEP43",11116,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"604","CLTC",1213,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"605","CLTCL1",8218,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"606","CMTR2",55783,"ENST00000338099","NM_001099642.1","ENST00000338099","NM_001099642.1",2,"Yes","No","Yes","Yes","No","No","No","No","No","TSG"
"607","CNTRL",11064,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"608","COL1A1",1277,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"609","CRBN",51185,"ENST00000231948","NM_016302.3","ENST00000231948","NM_016302.3",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"610","CREB1",1385,"ENST00000432329","NM_134442.3","ENST00000432329","NM_134442.3",2,"Yes","Yes","No","No","No","No","No","No","Yes","Oncogene"
"611","CREB3L1",90993,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"612","CREB3L2",64764,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"613","CTNNA1",1495,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"614","CTR9",9646,"ENST00000361367","NM_014633.4","ENST00000361367","NM_014633.4",2,"Yes","No","Yes","Yes","No","No","No","No","No","TSG"
"615","CYP19A1",1588,"ENST00000260433","NM_000103.3","ENST00000396402","NM_000103.3",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"616","DDX10",1662,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"617","DDX6",1656,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"618","DNM2",1785,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"619","EBF1",1879,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"620","ECT2L",345930,"ENST00000367682","NM_001077706.2","ENST00000367682","NM_001077706.2",2,"Yes","No","Yes","No","No","No","Yes","No","No","TSG"
"621","EGR1",1958,"ENST00000239938","NM_001964.2","ENST00000239938","NM_001964.2",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"622","ELF4",2000,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"623","ELL",8178,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"624","EML4",27436,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"625","EMSY",56946,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"626","EP400",57634,"ENST00000389561","NM_015409.3","ENST00000389561","NM_015409.3",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"627","EPOR",2057,"ENST00000222139","NM_000121.3","ENST00000222139","NM_000121.3",2,"Yes","Yes","No","No","No","No","Yes","No","No","Oncogene"
"628","EPS15",2060,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"629","ESCO2",157570,"ENST00000305188","NM_001017420.2","ENST00000305188","NM_001017420.2",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"630","ETAA1",54465,"ENST00000272342","NM_019002.3","ENST00000272342","NM_019002.3",2,"Yes","No","Yes","Yes","No","No","No","No","No","TSG"
"631","EZHIP",340602,"ENST00000342995","NM_203407.2","ENST00000342995","NM_203407.2",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"632","EZR",7430,"","","","",2,"No","No","No","No","No","Yes","No","No","Yes","Unkown"
"633","FANCE",2178,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"634","FANCF",2188,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"635","FCGR2B",2213,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"636","FCRL4",83417,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"637","FGF10",2255,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"638","FGF14",2259,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"639","FGF23",8074,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"640","FGF6",2251,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"641","FHIT",2272,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"642","FOXF1",2294,"ENST00000262426","NM_001451.2","ENST00000262426","NM_001451.2",2,"Yes","Yes","Yes","Yes","No","No","No","No","No","Oncogene"
"643","FOXO3",2309,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"644","FOXO4",4303,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"645","FSTL3",10272,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"646","FURIN",5045,"ENST00000268171","NM_001289823.1","ENST00000268171","NM_001289823.1",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"647","FUS",2521,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"648","GAB1",2549,"ENST00000262994","NM_002039.3","ENST00000262994","NM_002039.3",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"649","GAB2",9846,"ENST00000361507","NM_080491.2","ENST00000361507","NM_080491.2",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"650","GAS7",8522,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"651","GID4",79018,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"652","GPHN",10243,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"653","GTF2I",2969,"ENST00000324896","NM_032999.3","ENST00000573035","NM_032999.3",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"654","H1-5",3009,"ENST00000331442","NM_005322.2","ENST00000331442","NM_005322.2",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"655","H2BC8",8339,"ENST00000244601","NM_003518","ENST00000541790","NM_003518",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"656","H4C9",8294,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"657","HERPUD1",9709,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"658","HEY1",23462,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"659","HIP1",3092,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"660","HLA-C",3107,"ENST00000376228","NM_002117.5","ENST00000376228","NM_002117.5",2,"Yes","No","Yes","Yes","No","No","No","No","No","TSG"
"661","HLF",3131,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"662","HMGA1",3159,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"663","HMGA2",8091,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"664","HOXA11",3207,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"665","HOXA13",3209,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"666","HOXA9",3205,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"667","HOXC11",3227,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"668","HOXC13",3229,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"669","HOXD11",3237,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"670","HOXD13",3239,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"671","HSP90AA1",3320,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"672","HSP90AB1",3326,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"673","IGH",3492,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"674","IGK",50802,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"675","IGL",3535,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"676","IL21R",50615,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"677","IL3",3562,"ENST00000296870","NM_000588.3","ENST00000296870","NM_000588.3",2,"Yes","Yes","No","No","No","No","Yes","No","No","Oncogene"
"678","ITK",3702,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"679","KBTBD4",55709,"ENST00000395288","NM_016506.5","ENST00000395288","NM_016506.5",2,"Yes","No","No","Yes","No","No","No","No","No","Unkown"
"680","KDSR",2531,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"681","KIF5B",3799,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"682","KLF5",688,"ENST00000377687","NM_001730.4","ENST00000377687","NM_001730.4",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"683","KLHL6",89857,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"684","KSR2",283455,"ENST00000339824","","ENST00000339824","",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"685","LASP1",3927,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"686","LEF1",51176,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"687","LPP",4026,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"688","LRP1B",53353,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"689","LTB",4050,"ENST00000376117","NM_002341.1","ENST00000376117","NM_002341.1",2,"Yes","Yes","Yes","No","Yes","No","No","No","No","Oncogene"
"690","LYL1",4066,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"691","MAD2L2",10459,"ENST00000235310","NM_001127325.1","ENST00000235310","NM_001127325.1",2,"Yes","Yes","Yes","Yes","No","No","No","No","No","Oncogene"
"692","MGAM",8972,"ENST00000549489","NM_004668.2","ENST00000549489","NM_004668.2",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"693","MLF1",4291,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"694","MLLT3",4300,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"695","MLLT6",4302,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"696","MN1",4330,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"697","MOB3B",79817,"ENST00000262244","NM_024761.4","ENST00000262244","NM_024761.4",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"698","MPEG1",219972,"ENST00000361050","NM_001039396.1","ENST00000361050","NM_001039396.1",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"699","MRTFA",57591,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"700","MSN",4478,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"701","MUC1",4582,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"702","MYH11",4629,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"703","MYH9",4627,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"704","NADK",65220,"ENST00000341426","NM_001198993.1","ENST00000341426","NM_001198993.1",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"705","NCOA2",10499,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"706","NDRG1",10397,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"707","NFE2",4778,"ENST00000312156","NM_001136023.2","ENST00000312156","NM_001136023.2",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"708","NFKB2",4791,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"709","NIN",51199,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"710","NRG1",3084,"ENST00000405005","NM_013964.3","ENST00000405005","NM_013964.3",2,"Yes","Yes","No","No","No","No","No","No","Yes","Oncogene"
"711","NUMA1",4926,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"712","NUP214",8021,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"713","NUTM2A",728118,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"714","PAFAH1B2",5049,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"715","PAX3",5077,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"716","PAX7",5081,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"717","PAX8",7849,"ENST00000263334","NM_003466.3","ENST00000348715","NM_003466.3",2,"Yes","Yes","No","No","No","No","No","No","Yes","Oncogene"
"718","PBX1",5087,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"719","PCM1",5108,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"720","PDE4DIP",9659,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"721","PDK1",5163,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"722","PDS5B",23047,"ENST00000315596","NM_015032.3","ENST00000315596","NM_015032.3",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"723","PER1",5187,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"724","PGBD5",79605,"ENST00000525115","NM_001258311.1","ENST00000525115","NM_001258311.1",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"725","PICALM",8301,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"726","PIGA",5277,"ENST00000333590","NM_002641.3","ENST00000333590","NM_002641.3",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"727","PLAG1",5324,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"728","PML",5371,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"729","POU2AF1",5450,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"730","PPP2R2A",5520,"ENST00000380737","NM_002717.3","ENST00000380737","NM_002717.3",2,"Yes","No","Yes","No","No","Yes","No","No","No","TSG"
"731","PRDM16",63976,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"732","PRKACA",5566,"ENST00000308677","NM_002730.3","ENST00000308677","NM_002730.3",2,"Yes","Yes","No","No","No","No","No","No","Yes","Oncogene"
"733","PRRX1",5396,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"734","PSIP1",11168,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"735","PTPN1",5770,"ENST00000371621","NM_001278618.1","ENST00000371621","NM_001278618.1",2,"Yes","Yes","Yes","No","Yes","No","No","No","No","Oncogene"
"736","PTPRO",5800,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"737","QKI",9444,"","","","",2,"No","No","No","No","No","Yes","No","No","Yes","Unkown"
"738","RABEP1",9135,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"739","RAP1GDS1",5910,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"740","RELN",5649,"ENST00000428762","NM_005045.3","ENST00000428762","NM_005045.3",2,"Yes","No","No","No","No","No","Yes","No","No","Unkown"
"741","REST",5978,"ENST00000309042","NM_001193508.1","ENST00000309042","NM_001193508.1",2,"Yes","No","Yes","Yes","No","No","No","No","No","TSG"
"742","RHOH",399,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"743","RNF213",57674,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"744","ROBO1",6091,"ENST00000464233","NM_002941.3","ENST00000464233","NM_002941.3",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"745","RPL22",6146,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"746","RPN1",6184,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"747","RSPO2",340419,"","","","",2,"No","No","No","No","No","Yes","No","No","Yes","Unkown"
"748","SAMHD1",25939,"ENST00000262878","NM_015474.3","ENST00000646673","NM_015474.3",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"749","SCG5",6447,"ENST00000300175","NM_001144757.1","ENST00000300175","NM_001144757.1",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"750","SDC4",6385,"","","","",2,"No","No","No","No","No","Yes","No","No","Yes","Unkown"
"751","SERPINB3",6317,"ENST00000283752","NM_006919.2","ENST00000283752","NM_006919.2",2,"Yes","Yes","Yes","Yes","No","No","No","No","No","Oncogene"
"752","SERPINB4",6318,"ENST00000341074","NM_002974.3","ENST00000341074","NM_002974.3",2,"Yes","No","No","Yes","No","No","No","No","No","Unkown"
"753","SET",6418,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"754","SETD1A",9739,"ENST00000262519","NM_014712.2","ENST00000262519","NM_014712.2",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"755","SETD1B",23067,"ENST00000604567","XM_005253858.3","ENST00000604567","XM_005253858.3",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"756","SETD3",84193,"ENST00000331768","NM_032233.2","ENST00000331768","NM_032233.2",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"757","SETD4",54093,"ENST00000332131","NM_017438.4","ENST00000332131","NM_017438.4",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"758","SETD5",55209,"ENST00000402198","NM_001080517.2","ENST00000402198","NM_001080517.2",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"759","SETD6",79918,"ENST00000219315","NM_001160305.1","ENST00000219315","NM_001160305.1",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"760","SETD7",80854,"ENST00000274031","NM_001306199.1","ENST00000274031","NM_001306199.1",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"761","SETDB2",83852,"ENST00000354234","NM_031915.2","ENST00000317257","NM_031915.2",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"762","SH3GL1",6455,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"763","SLC34A2",10568,"","","","",2,"No","No","No","No","No","Yes","No","No","Yes","Unkown"
"764","SLFN11",91607,"ENST00000308377","NM_001104587.1","ENST00000308377","NM_001104587.1",2,"Yes","No","Yes","Yes","No","No","No","No","No","TSG"
"765","SMARCA2",6595,"ENST00000349721","NM_001289396.1","ENST00000349721","NM_001289396.1",2,"Yes","No","Yes","Yes","No","No","No","No","No","TSG"
"766","SMG1",23049,"ENST00000446231","NM_015092.4","ENST00000446231","NM_015092.4",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"767","SOCS3",9021,"ENST00000330871","NM_003955.4","ENST00000330871","NM_003955.4",2,"Yes","No","Yes","No","No","No","Yes","No","No","TSG"
"768","SP140",11262,"ENST00000392045","NM_007237.4","ENST00000392045","NM_007237.4",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"769","SPRTN",83932,"ENST00000295050","NM_032018.6","ENST00000295050","NM_032018.6",2,"Yes","No","Yes","Yes","No","No","No","No","No","TSG"
"770","SRSF3",6428,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"771","SSX1",6756,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"772","SSX2",6757,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"773","SSX4",6759,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"774","STAG1",10274,"ENST00000383202","NM_005862.2","ENST00000383202","NM_005862.2",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"775","TAF15",8148,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"776","TAL2",6887,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"777","TET3",200424,"ENST00000409262","NM_144993","ENST00000409262","NM_144993",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"778","TFG",10342,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"779","TNFRSF17",608,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"780","TPM3",7170,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"781","TPM4",7171,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"782","TRA",6955,"","","","",2,"Yes","Yes","No","No","No","No","No","No","Yes","Oncogene"
"783","TRB",6957,"","","","",2,"Yes","Yes","No","No","No","No","No","No","Yes","Oncogene"
"784","TRD",6964,"","","","",2,"Yes","Yes","No","No","No","No","No","No","Yes","Oncogene"
"785","TRG",6965,"","","","",2,"Yes","Yes","No","No","No","No","Yes","No","No","Oncogene"
"786","TRIM24",8805,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"787","TRIP11",9321,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"788","TRIP13",9319,"ENST00000166345","NM_004237.3","ENST00000166345","NM_004237.3",2,"Yes","Yes","Yes","Yes","No","No","No","No","No","Oncogene"
"789","USP6",9098,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"790","VAV1",7409,"ENST00000602142","NM_005428.3","ENST00000602142","NM_005428.3",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"791","VAV2",7410,"ENST00000371850","NM_001134398.1","ENST00000371850","NM_001134398.1",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"792","WIF1",11197,"ENST00000286574","NM_007191.4","ENST00000286574","NM_007191.4",2,"Yes","No","Yes","No","No","No","No","No","Yes","TSG"
"793","ZBTB16",7704,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"794","ZMYM2",7750,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"795","ZNF217",7764,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"796","ZNF384",171017,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"797","ZNF521",25925,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"798","ZNF703",80139,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"799","ZNRF3",84133,"ENST00000544604","NM_001206998.1","ENST00000544604","NM_001206998.1",2,"Yes","No","Yes","Yes","No","No","No","No","No","TSG"
"800","ACKR3",57007,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"801","ACSL3",2181,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"802","ACSL6",23305,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"803","ACTB",60,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"804","ACVR2A",92,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"805","ADGRA2",25960,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"806","AFF3",3899,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"807","AJUBA",84962,"ENST00000262713","NM_032876.5","ENST00000262713","NM_032876.5",1,"Yes","No","Yes","No","No","No","No","No","No","TSG"
"808","APH1A",51107,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"809","APOBEC3B",9582,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"810","ASMTL",8623,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"811","ASPSCR1",79058,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"812","ATG5",9474,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"813","ATP1A1",476,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"814","ATP2B3",492,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"815","BAX",581,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"816","BCL9L",283149,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"817","BRD3",8019,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"818","BRSK1",84446,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"819","BTLA",151888,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"820","BUB1B",701,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"821","CACNA1D",776,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"822","CAD",790,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"823","CANT1",124583,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"824","CBLB",868,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"825","CBLC",23624,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"826","CCDC6",8030,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"827","CCN6",8838,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"828","CCNB1IP1",57820,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"829","CCNB3",85417,"ENST00000276014","NM_033031.2","ENST00000276014","NM_033031.2",1,"Yes","Yes","No","No","No","No","No","No","No","Oncogene"
"830","CCT6B",10693,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"831","CD36",948,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"832","CDH11",1009,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"833","CHCHD7",79145,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"834","CHD2",1106,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"835","CHD4",1108,"","","","",1,"No","No","No","No","No","No","No","No","Yes","Unkown"
"836","CHIC2",26511,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
"837","CHN1",1123,"","","","",1,"No","No","No","No","No","No","Yes","No","No","Unkown"
