gene	gene_MoA
DEPDC1B	LoF
DHX15	LoF
DHX35	Act
DHX9	Act
DICER1	LoF
DIS3	LoF
DLC1	LoF
DLG1	Act
DNM2	LoF
DNMT3A	LoF
DPYD	ambiguous
ECT2L	LoF
EEF1A1	LoF
EEF1B2	Act
EFTUD2	ambiguous
EGFR	Act
EIF1AX	LoF
EIF2AK3	LoF
EIF2C3	Act
EIF4A2	Act
EIF4G1	Act
EIF4G3	Act
ELF1	LoF
ELF3	LoF
ELF4	Act
EP300	LoF
EPHA1	Act
EPHA2	LoF
EPHA4	ambiguous
EPHB2	Act
ERBB2	Act
ERBB2IP	LoF
ERBB3	Act
ERBB4	LoF
ERCC1	ambiguous
ERCC2	LoF
ERCC3	LoF
ERCC4	LoF
ERCC5	LoF
ERCC6	ambiguous
ESR1	Act
ETNK1	ambiguous
ETV6	Act
EXT1	LoF
EXT2	LoF
EZH2	LoF
FAF1	LoF
FAM123B	LoF
FAM175A	ambiguous
FAM46C	LoF
FANCA	LoF
FANCC	LoF
FANCD2	LoF
FANCE	LoF
FANCF	LoF
FANCG	LoF
FANCI	ambiguous
FAS	LoF
FAT1	LoF
FAT2	Act
FBXO11	LoF
FBXW7	LoF
FCRL4	Act
FGFR1	Act
FGFR2	Act
FGFR3	Act
FGFR4	Act
FH	LoF
FIP1L1	Act
FKBP5	Act
FLCN	LoF
FLT3	Act
FLT4	ambiguous
FMR1	LoF
FN1	LoF
FOXA1	LoF
FOXA2	LoF
FOXL2	Act
FOXP1	Act
FOXO1	Act
FRG1	LoF
FRG1B	Act
FUBP1	LoF
FUS	Act
FXR1	LoF
G3BP1	ambiguous
G3BP2	Act
G6PD	ambiguous
GATA1	Act
GATA2	Act
GATA3	LoF
GJB2	LoF
GNA11	Act
GNAI1	LoF
GNAI2	ambiguous
GNAQ	Act
GNAS	Act
GNA13	LoF
GNG2	LoF
GOLGA5	Act
GPC3	LoF
GPS2	LoF
GPSM2	LoF
GTF2F2	ambiguous
H3F3A	Act
H3F3B	ambiguous
HCFC1	Act
HDAC2	LoF
HDAC3	LoF
HDAC9	Act
HERC2	ambiguous
HGF	Act
HIC2	ambiguous
HIST1H3A	ambiguous
HIST1H3B	Act
