translocation	effector_gene	cancer_acronym	source
ETV6__RUNX1	RUNX1	ALL;TCALL;AML;BRCA;LK,LY;MDS;FIBS-PR	cgc
RPL22__RUNX1	RUNX1	ALL;AML;TCALL;CML	cgc
RUNX1__RUNX1T1	RUNX1	ALL;AML;TCALL	cgc
ETV5__SCL45A3	SCL45A3	PRAD	cgc
NUP214__SET	SET	AML;TCALL	cgc
ETV5__SLC45A3	SLC45A3	PRAD	cgc
ERG__SLC45A3	SLC45A3	PRAD	cgc
ETV1__SLC45A3	SLC45A3	EWS;PRAD	cgc
ELK4__SLC45A3	SLC45A3	PRAD	cgc
SS18__SSX1	SS18	SYNS	cgc
SS18__SSX2	SS18	SYNS	cgc
SS18__SSX4	SS18	SYNS	cgc
SS18L1__SSX1	SS18L1	SYNS	cgc
NAB2__STAT6	STAT6	HGP	cgc
JAZF1__SUZ12	SUZ12	EDS	cgc
ETV6__SYK	SYK	PTCL;LK,LY;BRCA;MDS;FIBS-PR	cgc
ITK__SYK	SYK	PTCL;MDS	cgc
CHN1__TAF15	TAF15	ALL;CS	cgc
TAF15__ZNF384	TAF15	ALL;CS	cgc
TAL1__TRD	TAL1	LK;LL	cgc
STIL__TAL1	TAL1	TCALL;LL	cgc
TAL2__TRB	TAL2	TCALL	cgc
TCF7L2__VTI1A	TCF7L2	COREAD	cgc
TCL1A__TRA	TCL1A	TCALL;CLL	cgc
TCL6__TRA	TCL6	TCALL	cgc
ASPSCR1__TFE3	TFE3	STS;R;RPC	cgc
CLTC__TFE3	TFE3	ALCL;STS;R;RPC	cgc
NONO__TFE3	TFE3	STS;R;RPC	cgc
PRCC__TFE3	TFE3	STS;R;RPC	cgc
SFPQ__TFE3	TFE3	STS;R;RPC	cgc
ALPHA__TFEB	TFEB	RCCC	cgc
MALAT1__TFEB	TFEB	RCCC;L	cgc
TCF3__TFPT	TFPT	ALL	cgc
TLX1__TRB	TLX1	TCALL	cgc
TLX1__TRD	TLX1	LK;TCALL	cgc
ERG__TMPRSS2	TMPRSS2	AML;EWS;PRAD	cgc
.__TMPRSS2	TMPRSS2	PRAD	biomarker
ETV1__TMPRSS2	TMPRSS2	EWS;PRAD	cgc
ETV4__TMPRSS2	TMPRSS2	EWS;PRAD	cgc
ETV5__TMPRSS2	TMPRSS2	PRAD	cgc
IL2__TNFRSF17	TNFRSF17	PTCL	cgc
ETV6__TTL	TTL	ALL;LK,LY;BRCA;MDS;FIBS-PR	cgc
CDH11__USP6	USP6	ABC	cgc
CNBP__USP6	USP6	ABC	cgc
COL1A1__USP6	USP6	DFS;ABC	cgc
OMD__USP6	USP6	ABC	cgc
THRAP3__USP6	USP6	ABC	cgc
IGH__WHSC1	WHSC1	MM	cgc
HMGA2__WIF1	WIF1	SG	cgc
