translocation	effector_gene	cancer_acronym	source
AFF1__MLL	MLL	ALL;AML	cgc
AFF3__MLL	MLL	ALL;AML;TCALL	cgc
AFF4__MLL	MLL	ALL;AML	cgc
ARHGAP26__MLL	MLL	ALL;AML;MDS	cgc
ARHGEF12__MLL	MLL	ALL;AML	cgc
BTBD18__MLL	MLL	ALL;AML	cgc
CASC5__MLL	MLL	ALL;AML	cgc
CASP8AP2__MLL	MLL	ALL;AML	cgc
CBL__MLL	MLL	ALL;AML;MML;MDS	cgc
CLP1__MLL	MLL	ALL;AML	cgc
CT45A2__MLL	MLL	ALL;AML	cgc
DAB2IP__MLL	MLL	ALL;AML	cgc
EEFSEC__MLL	MLL	ALL;AML	cgc
ELL__MLL	MLL	ALL;AML	cgc
EP300__MLL	MLL	ALL;AML;PA;BRCA;DLBCL;COREAD	cgc
EPS15__MLL	MLL	ALL;AML	cgc
FNBP1__MLL	MLL	ALL;AML	cgc
FOXO3__MLL	MLL	ALL;AML	cgc
FOXO4__MLL	MLL	ALL;AML	cgc
FRYL__MLL	MLL	ALL;AML	cgc
GAS7__MLL	MLL	ALL;AML	cgc
GMPS__MLL	MLL	ALL;AML	cgc
GPHN__MLL	MLL	ALL;AML	cgc
KIAA0284__MLL	MLL	ALL;AML	cgc
KIAA1524__MLL	MLL	ALL;AML	cgc
MLL__LASP1	MLL	ALL;AML	cgc
MLL__LPP	MLL	ALL;AML;LK	cgc
MLL__MAPRE1	MLL	ALL;AML	cgc
MLL__MLL	MLL	ALL;AML	cgc
MLL__MLLT1	MLL	ALL;AML	cgc
MLL__MLLT1	MLL	ALL;AML	validated
MLL__MLLT10	MLL	ALL;AML	cgc
MLL__MLLT10	MLL	ALL;AML	validated
MLL__MLLT11	MLL	ALL;AML	cgc
MLL__MLLT2	MLL	ALL;AML	validated
MLL__MLLT3	MLL	ALL;AML	cgc
MLL__MLLT3	MLL	ALL;AML	validated
MLL__MLLT4	MLL	ALL;AML	cgc
MLL__MLLT4	MLL	ALL;AML	validated
MLL__MLLT6	MLL	ALL;AML	cgc
MLL__MLLT6	MLL	ALL;AML	validated
MLL__MLLT7	MLL	ALL;AML	validated
MLL__MYO1F	MLL	ALL;AML	cgc
MLL__NCKIPSD	MLL	ALL;AML	cgc
MLL__NRIP3	MLL	ALL;AML	cgc
MLL__PDS5A	MLL	ALL;AML	cgc
MLL__PICALM	MLL	ALL;AML;TCALL	cgc
MLL__PRRC1	MLL	ALL;AML	cgc
MLL__RUNX1T1	MLL	ALL;AML	cgc
MLL__SARNP	MLL	ALL;AML	cgc
MLL__SEPT2	MLL	ALL;AML	cgc
MLL__SEPT5	MLL	ALL;AML	cgc
MLL__SEPT6	MLL	ALL;AML	cgc
MLL__SEPT9	MLL	ALL;AML	cgc
MLL__SH3GL1	MLL	ALL;AML	cgc
MLL__SORBS2	MLL	ALL;AML	cgc
MLL__TET1	MLL	ALL;AML	cgc
MLL__TOP3A	MLL	ALL;AML	cgc
MLL__ZFYVE19	MLL	ALL;AML	cgc
CREBBP__MLL	CREBBP	ALL;AML;NHLY;DLBCL	cgc
MLLT10__PICALM	MLLT10	ALL;AML;TCALL	cgc
