gene
VPS26A
MRPL34
TOMM22
SUPT16H
NDUFS8
EIF1
YARS
REEP6
FTL
DDX47
RSRC1
PAK1
CHMP2A
NEK7
ENO1
MRPS7
ALDH1B1
CLASP1
NOL3
ASF1A
MUT
ACY1
DDX46
RPS28
EIF2A
NUTF2
KARS
CIB1
LOC390956
OTUB1
RAB1A
LOC100996754
LOC101060723
PPIAL4A
PPIAL4D
PPIAL4C
LOC101060285
LOC100996725
PPIAL4E
PPIAL4B
PPIAL4F
LOC101060518
LOC101060415
DNPEP
EXOSC2
PBXIP1
PSMA7
CCT3
SCP2
DPP3
WAS
AMACR
MRPL22
IRGQ
C7orf50
VAMP3
LAMP2
RBBP4
CNDP2
RPL26L1
GIPC1
ATP5A1
PRPSAP1
EIF4H
TACC1
EFTUD2
P4HA1
CHMP5
UBTF
SNAP29
FAF2
XRCC6
HSP90AA1
AFMID
HDHD1
ESD
NUDC
PSMB4
MFI2
EIF2B1
ANXA7
PRRC1
PRPS2
CSNK2A1
MRPL43
ARPC4-TTLL3
RPSA
VTA1
AFG3L2
CPT2
STIP1
USP10
SMG9
NHP2
SF1
CLPP
IGF2BP2
PLS1
PFDN6
TUBB
BRIX1
SLC27A2
UQCRH
RAC1
EEF1D
CDC37
HNRNPUL2
AHCYL1
CIAPIN1
UGDH
FDPS
FUBP3
VAPB
MDH2
RPS5
B3GALTL
RPL21
PPP1R13L
PSMD12
BYSL
2-Mar
GOLGA5
NELFE
SYNCRIP
DCTPP1
COX6B1
SH3GLB1
UQCRFS1
HNRNPD
UBAP2L
DDX39B
CRYM
CBX5
ACADVL
IPO5
RTCA
IDH1
CYP2E1
EMC10
SH3GLB2
PGLS
TMED2
ATP5J
CAPS
PCBP1
S100A11
ACOT9
CALU
GAA
MCM6
CAPNS1
PPM1G
PAIP1
RPS17
RPS17L
UBA2
DDX21
TUBA3E
DDX18
TCP1
EBAG9
HADHA
SCLY
ICAM1
RPRD1A
USP14
NOP2
PAK4
ACOT13
VASP
FAM98B
PKLR
APOA2
DDB1
YWHAB
MDH1
ZFR
PHB2
NHP2L1
TRAP1
YBX1
IARS
PDAP1
TXNRD1
EPCAM
TPD52L2
CLUH
TUBA8
UBA6
SRPRB
REEP5
ESRP1
RBBP9
TUBB8
YWHAZ
EIF4E
SUMF2
NASP
SLC25A1
CCT2
USP5
NADK2
YWHAE
TOP1
PSMC6
SLC25A13
PRMT1
EPRS
CLNS1A
NDUFS5
COA3
SNRPG
FTO
LGALS3BP
CFL1
GTPBP4
MARS
MYO1B
NOP58
SF3B1
CORO1B
CMC1
MRPS11
RAB11A
PAICS
RPL5
DHRS7
FKBP1A
PSMA6
FLOT1
SHMT1
RPL23
HIST1H1D
SLC25A3
RPL3
SF3B4
ATXN10
YWHAG
NDUFA3
ATP1A3
DCTN5
PSMD3
CTSZ
CBX3
ABCE1
SNRNP70
NIT2
KIAA1598
SOD2
TSN
MPP6
GSKIP
RPS25
DEK
FEN1
EDF1
ILF3
NLN
TGFB2
RALY
COL4A3BP
CCT8
DHRS7B
HMGCS1
BAX
IGF2BP3
BCL2L13
OLA1
FTH1
FMO3
HIST1H1E
SET
MAGOHB
HNRNPAB
TCERG1
ACOT8
HNRNPUL1
RHOA
CTNNA1
UBE2D3
POGK
NDUFB4
RPL23A
EIF3H
PBLD
GALK1
PSMC2
HNRNPK
NNT
JUP
NSFL1C
NAP1L4
DARS2
GARS
TARS
TXN
SF3A2
SNRPA1
RBKS
PGAM1
BCL2L1
FBP1
STOML2
GSTA2
RGN
TOM1L1
DPY30
TSFM
CNP
PRKDC
LGALS9C
ADK
HIST1H2BA
NAA50
RCN1
METAP1
SFPQ
RAE1
AKR1B15
PFDN5
UBE2D2
PRPF19
FH
TIMM10B
NOP56
ALDOA
YWHAQ
RPL35A
PRDX3
SRPR
PAWR
RPS8
GCLM
LGALS9B
PSMD13
DHCR24
NUP107
HSP90AB1
PKM
HNRNPM
TFRC
SRSF3
CCT4
SPAG7
PEBP1
ATP13A1
TRA2A
FSCN1
TMX1
NCL
STAT1
RMDN1
NUCB1
CCDC124
PXDN
TGFBI
ARL1
HNRNPC
ETFA
TESC
ATP1A1
GALM
COPZ1
GSTA3
SSB
UGP2
PSAT1
MYO9B
IPO7
TXNL1
GSTA1
EEF1B2
ERP29
MRPL20
PCNA
RDH16
MTCH2
RBM14-RBM4
HIST1H1C
ARPC3
CANX
GORAB
HINT1
LGALS9
MYCBP
PLOD3
NPM1
RAB6B
CCT6A
POSTN
C9orf142
MCM4
DSP
PSMB3
ADSS
HS1BP3
PDIA4
DIABLO
MAPK14
PHB
CNPY2
TPD52
PRDX5
COMT
MAN2A1
TMEM230
XYLB
XRN2
DUSP3
DERL1
PSMF1
LDHA
THEM6
MATR3
GGT2
DUSP23
EBP
LOC101060318
EIF1AX
NACA
LOC650157
KHDRBS1
FDXR
PQBP1
UQCR10
NAMPT
PSMD4
RPL27A
9-Sep
RPS9
ZNF706
COPS8
NDUFAF7
HSPE1
HNRNPL
C3orf58
DHX9
DHX15
CPPED1
NARS
SRSF12
KHSRP
DDTL
RPL11
EPS8
VPS25
TAPBP
GGT1
GCFC2
HSPA9
PYCRL
ACAT1
EIF3G
SRSF7
GAPDH
SNRPB2
PURB
TOMM6
RPS7
EEF2
ENO2
MCM2
UBC
UBA52
CNIH4
ARPC1B
IVD
RAB10
TAF15
H1FX
SUCLG1
C1QBP
HSPE1-MOB4
MRPL12
CDH2
DECR1
UBB
MAT2A
DARS
ATP5B
STRAP
RPS14
GCHFR
HAO1
GPI
LOC100653057
OTC
TARDBP
SCRIB
SARNP
HIST2H3A
HIST2H3C
HIST2H3D
POLR2E
PFKP
HNRNPF
ABCD3
CA9
MGST2
TPI1
SRP14
PSMA3
BAG6
NUDT21
LOC101060682
DDX39A
SNX27
XRCC5
ATP5O
EEF1A1
PYCARD
NUBP2
CUL5
PGK2
PON2
PGK1
MCM7
H2AFY
MRPS23
ETFB
ILF2
TUBB1
PPA2
PARP1
LAMC3
TRIM28
MCM5
EEF1E1
SF3B3
FUBP1
IARS2
ASL
GLRX3
RPS27A
LSM14A
PLIN3
TBCA
ATP5F1
PSMD2
TECR
EEF1A2
BANF1
NFU1
ABHD11
RBX1
DAK
NELFCD
NUDT3
ECH1
MAVS
ZYX
LYPLA2
RNPS1
UBE2L3
GOT1
HAAO
BCAM
ERO1L
PTPRF
NCK2
GPX4
HIST2H2BE
HIST1H2BJ
HIST1H2BB
HIST1H2BO
UQCRB
ACSL4
HIST3H2BB
HIP1R
SNRPD3
CYCS
APOA1BP
HADHB
SQSTM1
LRPPRC
TMEM33
SRSF10
TIMM13
FARSA
PIGS
MAL2
VDAC2
FAHD1
LOC100996657
ECI1
H1F0
S100A8
GSDMD
MCM3
RPL27
RPL19
VBP1
HIST2H2BF
UBE2NL
ECHDC2
UBE2I
HIST1H2BE
HIST1H2BF
HIST1H2BI
HIST1H2BM
HIST1H2BG
HIST1H2BN
HIST1H2BD
HIST1H2BC
HIST1H2BK
HIST1H2BH
HIST1H2BL
H3F3B
H3F3A
LSM5
RPS4X
TRMT112
HGD
LPGAT1
HSD17B11
CHMP4A
VAPA
OPLAH
IDH2
SRSF2
RALYL
HMGB2
SPECC1L
KRT8
MRPL37
SCAMP3
AKR1C4
MAT1A
TUBA4A
CHCHD3
SSR1
GET4
LSM4
HIST1H1B
GRHPR
PSMG3
RBM14
RSL1D1
ANP32E
LYPLAL1
PTMA
PPIA
THBS2
CYC1
SNRPD1
CES1
ATP5I
ACP1
ENO3
TPMT
MCTS1
HNMT
F9
RBM22
ANP32B
COX7A2
HDGF
FAH
BZW1
SAE1
ATP1B1
CSE1L
PSAP
RABIF
FUS
RPL30
DBI
GSTK1
DAZAP1
SNRPE
ALDH4A1
TMSB10
ANPEP
PPA1
AGPS
VDAC1
UGT1A6
PAFAH1B3
EIF5A
HNRNPCP5
SNRPA
HNRNPCL1
LOC649330
LOC101060301
GADD45GIP1
PDZK1
MEMO1
LANCL1
PSME3
NCEH1
PHGDH
RAB18
BPNT1
HMGCS2
DERL2
CFL2
ATP5C1
NONO
UROD
RANGAP1
SCRN1
SAT2
B2M
HNRNPU
SULT1A1
MAOB
IL18
SLC9A3R1
ANP32C
CYB5A
CDH1
C12orf10
SRSF5
RPLP1
PTGES3
PIK3AP1
CIRBP
EIF6
SORD
DNAJB9
APEX1
AEBP1
BID
CHCHD5
EML4
HN1L
SLIRP
VDAC3
ISYNA1
ITIH5
SSBP1
TROVE2
EIF5A2
RPS24
SMIM20
UQCRQ
GATM
EIF5AL1
HMGB1
ATIC
SCGN
SPR
SHMT2
ALDOB
KPNB1
IGFBP7
PPP1R14B
METTL7B
HKDC1
FKBP4
PTMS
AKR1C2
SULT1A2
KYNU
CARHSP1
NIPSNAP1
PSPH
FBL
FXYD6-FXYD2
USMG5
RPL39
MIF
HEBP1
CPS1
TSTD1
NUDT5
ANXA4
AGRN
RAB15
GLS
ATP5L
KRT23
HEXIM1
TXNDC17
ANP32A
ADH4
TFG
RPS10
C11orf58
ANXA9
ADI1
USP39
COX20
RPS20
ARL6IP4
RPL22
RPS10-NUDT3
MSI2
FAU
NME1-NME2
HSPD1
NME2
LYPLA1
VMA21
EPS8L2
HSD17B2
LOC101060798
PCBD1
FXYD2
ANXA13
LOC101060751
AKR1C1
DNPH1
KRT18
VIL1
FABP1
AKR1C3
HMGB3
RPS27
HRSP12
TNC
NME1
RPS27L
NUCKS1
ERH
TMSB4X
GAMT
SUB1
LAD1
MTX1
